Number of measurement points: 43679
Sample Rate (Hz): 500
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.152203051839024	-1.72650753892958
1	0.002	-0.0684634514618665	-1.72650753892958
2	0.004	-0.0697517530061305	-1.72908414201811
3	0.006	-0.0645985468290746	-1.72908414201811
4	0.008	-0.0697517530061305	-1.72908414201811
5	0.01	-0.0645985468290746	-1.72908414201811
6	0.012	-0.0749049591831863	-1.72650753892958
7	0.014	-0.0607336421962827	-1.72521923738532
8	0.016	-0.0671751499176025	-1.72393093584105
9	0.018	-0.0684634514618665	-1.72521923738532
10	0.02	-0.0658868483733386	-1.72521923738532
11	0.022	-0.0710400545503944	-1.72650753892958
12	0.024	-0.0710400545503944	-1.72908414201811
13	0.026	-0.0697517530061305	-1.72908414201811
14	0.028	-0.0697517530061305	-1.72908414201811
15	0.03	-0.0723283560946584	-1.72908414201811
16	0.032	-0.0684634514618665	-1.72650753892958
17	0.034	-0.0671751499176025	-1.72521923738532
18	0.036	-0.0620219437405467	-1.72521923738532
19	0.038	-0.0697517530061305	-1.72521923738532
20	0.04	-0.0671751499176025	-1.72521923738532
21	0.042	-0.0645985468290746	-1.72650753892958
22	0.044	-0.0684634514618665	-1.72908414201811
23	0.046	-0.0671751499176025	-1.72908414201811
24	0.048	-0.0684634514618665	-1.72908414201811
25	0.05	-0.0710400545503944	-1.72908414201811
26	0.052	-0.0633102452848107	-1.72779584047385
27	0.054	-0.0620219437405467	-1.72521923738532
28	0.056	-0.0594453406520188	-1.72521923738532
29	0.058	-0.0620219437405467	-1.72521923738532
30	0.06	-0.0607336421962827	-1.72521923738532
31	0.062	-0.0697517530061305	-1.72650753892958
32	0.064	-0.0723283560946584	-1.72908414201811
33	0.066	-0.0671751499176025	-1.72908414201811
34	0.068	-0.0671751499176025	-1.72908414201811
35	0.07	-0.0658868483733386	-1.72908414201811
36	0.072	-0.0645985468290746	-1.72650753892958
37	0.074	-0.0645985468290746	-1.72521923738532
38	0.076	-0.0645985468290746	-1.72521923738532
39	0.078	-0.0723283560946584	-1.72521923738532
40	0.08	-0.0697517530061305	-1.72521923738532
41	0.082	-0.0710400545503944	-1.72779584047385
42	0.084	-0.0671751499176025	-1.72908414201811
43	0.086	-0.0723283560946584	-1.72908414201811
44	0.088	-0.0723283560946584	-1.72908414201811
45	0.09	-0.0620219437405467	-1.72908414201811
46	0.092	-0.0645985468290746	-1.72650753892958
47	0.094	-0.0607336421962827	-1.72521923738532
48	0.096	-0.0697517530061305	-1.72521923738532
49	0.098	-0.0645985468290746	-1.72521923738532
50	0.1	-0.0697517530061305	-1.72521923738532
51	0.102	-0.0658868483733386	-1.72650753892958
52	0.104	-0.0671751499176025	-1.72908414201811
53	0.106	-0.0710400545503944	-1.72908414201811
54	0.108	-0.0658868483733386	-1.73037244356237
55	0.11	-0.0658868483733386	-1.72908414201811
56	0.112	-0.0645985468290746	-1.72650753892958
57	0.114	-0.0645985468290746	-1.72521923738532
58	0.116	-0.0645985468290746	-1.72393093584105
59	0.118	-0.0607336421962827	-1.72521923738532
60	0.12	-0.0671751499176025	-1.72521923738532
61	0.122	-0.0633102452848107	-1.72650753892958
62	0.124	-0.0684634514618665	-1.72908414201811
63	0.126	-0.0645985468290746	-1.72908414201811
64	0.128	-0.0723283560946584	-1.72908414201811
65	0.13	-0.0658868483733386	-1.72779584047385
66	0.132	-0.0645985468290746	-1.72650753892958
67	0.134	-0.0633102452848107	-1.72521923738532
68	0.136	-0.0633102452848107	-1.72521923738532
69	0.138	-0.0658868483733386	-1.72521923738532
70	0.14	-0.0633102452848107	-1.72521923738532
71	0.142	-0.0658868483733386	-1.72650753892958
72	0.144	-0.0671751499176025	-1.72908414201811
