Number of measurement points: 31396
Sample Rate (Hz): 500
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.15091475029476	-1.67111057252623
1	0.002	-0.0645985468290746	-1.67111057252623
2	0.004	-0.0658868483733386	-1.67111057252623
3	0.006	-0.0607336421962827	-1.6685339694377
4	0.008	-0.0620219437405467	-1.66724566789344
5	0.01	-0.0594453406520188	-1.66595736634918
6	0.012	-0.0594453406520188	-1.66595736634918
7	0.014	-0.0594453406520188	-1.66724566789344
8	0.016	-0.0594453406520188	-1.66982227098197
9	0.018	-0.0594453406520188	-1.67111057252623
10	0.02	-0.0645985468290746	-1.67111057252623
11	0.022	-0.0620219437405467	-1.67111057252623
12	0.024	-0.0607336421962827	-1.66982227098197
13	0.026	-0.0607336421962827	-1.66724566789344
14	0.028	-0.0633102452848107	-1.66724566789344
15	0.03	-0.0620219437405467	-1.66595736634918
16	0.032	-0.0620219437405467	-1.66724566789344
17	0.034	-0.0568687375634909	-1.66724566789344
18	0.036	-0.0658868483733386	-1.66982227098197
19	0.038	-0.0645985468290746	-1.67111057252623
20	0.04	-0.0671751499176025	-1.67111057252623
21	0.042	-0.0633102452848107	-1.67111057252623
22	0.044	-0.0645985468290746	-1.66982227098197
23	0.046	-0.0620219437405467	-1.6685339694377
24	0.048	-0.0620219437405467	-1.66595736634918
25	0.05	-0.0607336421962827	-1.66724566789344
26	0.052	-0.0658868483733386	-1.66724566789344
27	0.054	-0.0542921344749629	-1.66724566789344
28	0.056	-0.0594453406520188	-1.6685339694377
29	0.058	-0.0594453406520188	-1.67111057252623
30	0.06	-0.0671751499176025	-1.6723988740705
31	0.062	-0.0620219437405467	-1.67111057252623
32	0.064	-0.0645985468290746	-1.67111057252623
33	0.066	-0.0645985468290746	-1.6685339694377
34	0.068	-0.0581570391077548	-1.66724566789344
35	0.07	-0.0697517530061305	-1.66595736634918
36	0.072	-0.0594453406520188	-1.66724566789344
37	0.074	-0.0620219437405467	-1.66724566789344
38	0.076	-0.0620219437405467	-1.66982227098197
39	0.078	-0.0658868483733386	-1.67111057252623
40	0.08	-0.0645985468290746	-1.67111057252623
41	0.082	-0.0633102452848107	-1.67111057252623
42	0.084	-0.0620219437405467	-1.67111057252623
43	0.086	-0.0633102452848107	-1.6685339694377
44	0.088	-0.0633102452848107	-1.66595736634918
45	0.09	-0.0581570391077548	-1.66724566789344
46	0.092	-0.0620219437405467	-1.66595736634918
47	0.094	-0.0594453406520188	-1.66724566789344
48	0.096	-0.0594453406520188	-1.66982227098197
49	0.098	-0.0658868483733386	-1.67111057252623
50	0.1	-0.0620219437405467	-1.67111057252623
51	0.102	-0.0658868483733386	-1.67111057252623
52	0.104	-0.0658868483733386	-1.67111057252623
53	0.106	-0.0645985468290746	-1.6685339694377
54	0.108	-0.0607336421962827	-1.66595736634918
55	0.11	-0.0581570391077548	-1.66724566789344
56	0.112	-0.0620219437405467	-1.66724566789344
57	0.114	-0.0568687375634909	-1.66724566789344
58	0.116	-0.0633102452848107	-1.66982227098197
59	0.118	-0.0581570391077548	-1.67111057252623
60	0.12	-0.0620219437405467	-1.67111057252623
61	0.122	-0.0633102452848107	-1.67111057252623
62	0.124	-0.0568687375634909	-1.67111057252623
